hh_id,age,gender,employment,education,student,num_people,num_surveyable,num_participants,num_adults,num_kids,num_workers,num_students,num_vehicles,num_bicycle,income_detailed,residence_type,residence_rent_own,home_tract_2020,num_jobs,job_type,occupation,industry,work_flex,commute_freq,telework_freq,work_tract_2020,transit_pass_0,transit_pass_1,transit_pass_2,transit_pass_3,transit_pass_4,transit_pass_5,transit_fare_program_1,transit_fare_program_2,transit_fare_program_3,transit_fare_program_4,transit_fare_program_5,transit_fare_program_6,transit_fare_program_7,transit_fare_program_8,limits,can_drive,disability,transit_freq,person_weight
24011458,9,2,1,1,2,4,4,4,4,0,2,1,1,3,4,3,3,17031630600,1,2,7,5,0,1,995,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,995,996,1641.6821
24011629,6,1,1,7,2,2,2,2,2,0,2,0,0,2,10,3,3,17031841100,1,2,8,6,0,2,996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1004.08685
24011629,6,2,1,7,2,2,2,2,2,0,2,0,0,2,10,3,3,17031841100,1,7,6,13,0,5,4,17031320400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,995,4,1004.08685
24011660,6,2,1,2,2,3,2,2,3,0,1,0,2,5,7,1,1,17031430900,1,1,10,1,0,2,996,17031430500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,996,1,995,8,303.392895
24011826,6,1,1,6,2,1,1,1,1,0,1,0,1,1,8,3,2,17031814200,1,3,2,19,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,205.70512
24012699,7,2,1,6,2,1,1,1,1,0,1,0,1,0,6,3,2,17031170100,1,1,24,11,0,3,996,17031820501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,184.85857
24012810,6,1,3,2,2,3,3,2,2,1,2,0,2,0,2,1,1,17031650302,1,4,23,17,1,995,995,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,95.20642
24012810,7,2,3,1,2,3,3,2,2,1,2,0,2,0,2,1,1,17031650302,1,1,23,17,0,1,995,17031840800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,95.20642
24012846,8,1,3,3,2,1,1,1,1,0,1,0,0,0,5,3,3,17031840400,1,3,2,4,1,995,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,258.39877
24012976,8,1,1,8,2,4,4,4,4,0,1,1,1,3,4,3,999,17031630800,1,1,12,7,0,2,9,17031843300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,7068.111
24013138,9,1,1,5,2,1,1,1,1,0,1,0,1,0,1,3,3,17031835000,1,1,12,8,1,2,8,17031730201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,81.54297
24013225,6,1,1,7,3,1,1,1,1,0,1,1,1,1,7,3,3,17031261000,4,7,11,8,1,4,5,17031834400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,623.8917
24013391,7,2,1,7,2,3,3,2,2,1,2,0,0,0,10,3,3,17031242000,1,7,4,14,0,3,6,17031071500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,275.6619
24013391,8,1,3,4,2,3,3,2,2,1,2,0,0,0,10,3,3,17031242000,1,1,19,20,1,3,996,17031241400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,996,275.6619
24013536,7,2,1,7,2,4,4,2,2,2,2,0,1,2,10,1,2,17031140800,1,3,6,9,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,483.16214
24013536,7,1,3,7,2,4,4,2,2,2,2,0,1,2,10,1,2,17031140800,1,3,8,6,1,995,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,483.16214
24013565,9,1,3,6,2,2,2,2,2,0,1,0,1,4,12,3,1,17031081000,1,3,16,6,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,329.44754
24013699,9,1,1,6,2,4,3,3,4,0,4,0,1,0,10,3,3,17031241400,1,7,18,7,0,4,5,17031280100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,344.5623733
24013699,6,1,2,6,2,4,3,3,4,0,4,0,1,0,10,3,3,17031241400,1,1,10,1,0,3,996,17031062100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,5,344.5623733
24013699,9,2,1,2,2,4,3,3,4,0,4,0,1,0,10,3,3,17031241400,1,1,23,17,0,3,996,17043840901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,344.5623733
24013737,5,2,1,7,2,1,1,1,1,0,1,0,0,0,9,3,3,17031839100,1,7,1,9,1,4,5,17031280100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,469.4819
24013786,5,1,1,6,2,1,1,1,1,0,1,0,0,1,5,3,3,17031031400,1,1,24,8,1,2,996,17031081401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,354.9058
24013812,7,1,1,7,2,1,1,1,1,0,1,0,1,0,6,3,3,17031812302,1,2,24,8,1,2,9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,109.08073
24013977,9,2,1,3,2,2,1,1,2,0,1,0,0,0,4,3,1,17031031400,1,1,4,13,1,4,5,17031330101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7291.5196
24014005,7,2,1,7,2,1,1,1,1,0,1,0,0,1,6,3,3,17031030103,1,1,8,6,0,2,996,17031031502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,36.385418
24014171,7,2,1,6,2,1,1,1,1,0,1,0,0,1,10,3,3,17031830800,1,7,24,14,1,7,2,17031830800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,36.31684
24014301,9,2,1,7,2,2,2,2,2,0,2,0,1,0,11,3,1,17031031700,1,7,16,6,1,5,4,17031031700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36.553284
24014301,9,1,3,7,2,2,2,2,2,0,2,0,1,0,11,3,1,17031031700,1,7,11,8,1,6,2,17031031700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,5,36.553284
24014321,6,2,1,6,2,1,1,1,1,0,1,0,0,1,9,3,3,17031070102,1,7,6,6,0,5,4,17031809402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,424.28406
24014361,9,2,1,3,2,1,1,1,1,0,1,0,1,0,5,3,3,17031081800,2,1,22,16,1,2,8,17031081800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,996,1,0,8,472.71255
24014367,5,999,1,6,2,2,1,1,2,0,2,0,1,0,8,3,3,17031839100,1,7,6,7,1,5,4,17031839100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,899.09246
24014423,7,1,1,6,2,1,1,1,1,0,1,0,0,0,5,3,2,17031010600,1,1,2,4,1,2,996,17031081402,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,36.363758
24014596,8,1,1,7,2,1,1,1,1,0,1,0,1,1,10,3,2,17031061901,1,3,6,13,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1151.7539
